rn,sp,R
2,6,39436236.24695279
2,7,36864230.71731781
2,8,37283585.64757154
2,9,39960665.0515037
2,10,44863350.5770147
2,11,45585081.98850055
2,12,46555879.52058732
2,13,48153734.24957773
2,14,47020413.39850685
2,15,48896367.812708125
2,16,51410361.159545705
2,17,59362581.03987361
2,18,54046836.564087935
2,19,60772314.45339473
2,20,60853693.00392299
2,21,66297457.177723855
2,22,68461404.5243695
2,23,58540926.140225075
2,24,53157298.05031344
2,25,52984161.17407594
2,26,50406919.15296408
2,27,44412241.27924784
2,28,42658020.06006038
2,29,45524622.18625026
2,30,38620605.11297807
2,31,37379045.42615214
2,32,37561419.26584982
2,33,38007055.26727926
2,34,35446677.38032197
2,35,35921187.54451566
2,36,36487907.80367913
2,37,36854547.05257261
2,38,38060912.064252
2,39,36772136.00121186
2,40,43874070.11196923
2,41,41237246.99889238
2,42,40505037.07064698
2,43,46741838.17846362
2,44,41059428.31408877
2,45,47791299.66423631
2,46,41570039.06132908
2,47,36470685.89621098
2,48,31276009.873336427
2,49,25517424.214449137
2,50,28004420.723777372
2,51,25131818.399042737
2,52,24919125.399072543
2,53,26983055.25185901
2,54,18672084.93618581
2,55,16126761.549732614
2,56,15805963.06434187
2,57,15918726.068472253
2,58,16433609.48125642
2,59,16033921.873479422
2,60,19203881.126568474
2,61,16127656.932351857
2,62,15309324.320182992
2,63,20840905.990546428
2,64,24407159.759518664
2,65,22858975.62559742
2,66,11675040.839631088
2,67,12653552.502338508
2,68,17239932.342574526
2,69,21695995.309957877
2,70,21132449.31652307
2,71,18199225.921535775
2,72,18264147.11804834
2,73,21028759.788890067
2,74,17868913.25360615
2,75,17630507.179550752
2,76,17048990.123624038
2,77,16572457.73742035
2,78,11708130.051544072
2,79,8551173.574410252
2,80,6560277.937843377
2,81,4592320.740902349
2,82,7962562.8764645625
2,83,9639630.723118506
2,84,10101135.831176218
2,85,8605980.980098642
2,86,9524966.201410497
2,87,6696068.146685942
2,88,6575838.19555303
2,89,7303047.456321231
2,90,3864247.6817817097
2,91,5355383.794285305
2,92,4719526.857856251
2,93,3480223.423694716
2,94,3363816.704254618
2,95,2768987.578374947
2,96,3369134.247108358
2,97,3385396.328559348
2,98,2968594.8397089127
2,99,2986117.491520199
2,100,2155091.775492642
2,101,1931397.4136837297
2,102,2030758.1932748216
2,103,1514699.1173337633
2,104,1446873.072504919
2,105,1067653.96397891
2,106,744287.909313839
2,107,658208.8557618043
2,108,495868.17434837256
2,109,367537.4884100794
2,110,294994.2717302852
2,111,242322.8822209302
2,112,64846.47952485066
2,113,58341.27637277139
2,114,39268.67400773613
2,115,0.0
2,116,0.0
2,117,0.0
2,118,0.0
2,119,0.0
2,120,0.0
3,1,18998983.843832396
3,2,18807980.0849977
3,3,17419243.809975736
3,4,17637082.516668145
3,5,17376216.666782342
3,6,18847440.4326835
3,7,17886331.940333024
3,8,17713951.892508656
3,9,17952773.439576328
3,10,19154252.87748709
3,11,19980450.42456209
3,12,21225848.991953388
3,13,23255873.31836411
3,14,22535389.876488943
3,15,20934744.487422254
3,16,19681288.03676675
3,17,19969244.652689002
3,18,19730844.177776642
3,19,19765527.22975039
3,20,19559527.36819668
3,21,22965563.097838167
3,22,25093615.14437592
3,23,28207164.721111305
3,24,27587229.391913462
3,25,21901414.939595714
3,26,21129406.501019955
3,27,20907887.56746104
3,28,20966618.171327557
3,29,20563086.957186844
3,30,21239323.28716668
3,31,23174986.89337923
3,32,25823621.439200606
3,33,20861795.9905626
3,34,20704381.502503257
3,35,24184637.148783956
3,36,22578779.585639667
3,37,23823288.949614815
3,38,26491258.58737922
3,39,28629570.275130294
3,40,24005441.240754224
3,41,22983432.695197422
3,42,20662922.167548195
3,43,19355666.512937006
3,44,19206508.716504745
3,45,19722780.423725575
3,46,22947215.51993903
3,47,28008433.29705732
3,48,23192761.89902364
3,49,19392006.36838446
3,50,22283289.208119284
3,51,18363418.869298548
3,52,16979272.556417104
3,53,16780514.606869087
3,54,16481974.71499918
3,55,16216554.595003271
3,56,15932734.12432324
3,57,16039530.26432609
3,58,17014666.503679965
3,59,16545644.25836788
3,60,15419025.762886817
3,61,14398231.156163882
3,62,13621233.645777794
3,63,16368200.756236074
3,64,14247690.104139427
3,65,20373807.73231361
3,66,14571684.4490998
3,67,17850970.995541867
3,68,21516360.0929691
3,69,22796861.547393784
3,70,23694668.465405826
3,71,21231675.56105322
3,72,20100422.615351487
3,73,19815837.06028557
3,74,18593179.189266104
3,75,18650431.903863516
3,76,18951102.44748533
3,77,16207015.264689313
3,78,12329392.189684499
3,79,12222309.237526543
3,80,12805465.606273033
3,81,12313794.727867018
3,82,11886726.233455203
3,83,10511881.558202954
3,84,11373825.849779233
3,85,10146961.39180581
3,86,9790745.956004307
3,87,8926944.177835021
3,88,7453223.693095348
3,89,8512995.155356955
3,90,5731367.48163368
3,91,5015842.981399458
3,92,5060141.498626486
3,93,5234696.67449784
3,94,4833831.004090885
3,95,5275614.6055757385
3,96,5127033.090874153
3,97,5254552.548717202
3,98,4955751.139611489
3,99,4455704.284668335
3,100,2877106.535995823
3,101,2409635.2199873966
3,102,2916998.328824342
3,103,3047086.1511394265
3,104,2569138.041736964
3,105,1925670.0877376008
3,106,1256193.9923184083
3,107,909248.0863529332
3,108,592419.4415642829
3,109,267939.50440111215
3,110,234980.61859215383
3,111,125549.5675952348
3,112,2869.8523647118263
3,113,25840.277588439847
3,114,13207.01254833602
3,115,0.0
3,116,0.0
3,117,0.0
3,118,0.0
3,119,0.0
3,120,0.0
